ANHO;SEMANA;CUARENTENA
2019;1;0
2019;2;0
2019;3;0
2019;4;0
2019;5;0
2019;6;0
2019;7;0
2019;8;0
2019;9;0
2019;10;0
2019;11;0
2019;12;0
2019;13;0
2019;14;0
2019;15;0
2019;16;0
2019;17;0
2019;18;0
2019;19;0
2019;20;0
2019;21;0
2019;22;0
2019;23;0
2019;24;0
2019;25;0
2019;26;0
2019;27;0
2019;28;0
2019;29;0
2019;30;0
2019;31;0
2019;32;0
2019;33;0
2019;34;0
2019;35;0
2019;36;0
2019;37;0
2019;38;0
2019;39;0
2019;40;0
2019;41;0
2019;42;0
2019;43;0
2019;44;0
2019;45;0
2019;46;0
2019;47;0
2019;48;0
2019;49;0
2019;50;0
2019;51;0
2019;52;0
2020;1;0
2020;2;0
2020;3;0
2020;4;0
2020;5;0
2020;6;0
2020;7;0
2020;8;0
2020;9;0
2020;10;0
2020;11;1
2020;12;1
2020;13;1
2020;14;1
2020;15;1
2020;16;1
2020;17;1
2020;18;1
2020;19;1
2020;20;1
2020;21;1
2020;22;1
2020;23;1
2020;24;1
2020;25;1
2020;26;0
2020;27;0
2020;28;0
2020;29;0
2020;30;0
2020;31;0
2020;32;0
2020;33;0
2020;34;0
2020;35;0
2020;36;0
2020;37;0
2020;38;0
2020;39;0
2020;40;0
2020;41;0
2020;42;0
2020;43;0
2020;44;0
2020;45;0
2020;46;0
2020;47;0
2020;48;0
2020;49;0
2020;50;0
2020;51;0
2020;52;0
2020;53;0
