nombre_pdv;PRODUCTO  1;PRODUCTO  10;PRODUCTO  100;PRODUCTO  101;PRODUCTO  102;PRODUCTO  103;PRODUCTO  104;PRODUCTO  105;PRODUCTO  106;PRODUCTO  107;PRODUCTO  108;PRODUCTO  109;PRODUCTO  11;PRODUCTO  110;PRODUCTO  111;PRODUCTO  112;PRODUCTO  113;PRODUCTO  114;PRODUCTO  115;PRODUCTO  116;PRODUCTO  117;PRODUCTO  118;PRODUCTO  119;PRODUCTO  12;PRODUCTO  120;PRODUCTO  121;PRODUCTO  122;PRODUCTO  123;PRODUCTO  124;PRODUCTO  125;PRODUCTO  126;PRODUCTO  127;PRODUCTO  128;PRODUCTO  129;PRODUCTO  13;PRODUCTO  130;PRODUCTO  131;PRODUCTO  132;PRODUCTO  133;PRODUCTO  134;PRODUCTO  135;PRODUCTO  136;PRODUCTO  137;PRODUCTO  138;PRODUCTO  139;PRODUCTO  14;PRODUCTO  140;PRODUCTO  141;PRODUCTO  142;PRODUCTO  143;PRODUCTO  144;PRODUCTO  145;PRODUCTO  146;PRODUCTO  147;PRODUCTO  149;PRODUCTO  15;PRODUCTO  150;PRODUCTO  151;PRODUCTO  152;PRODUCTO  153;PRODUCTO  154;PRODUCTO  155;PRODUCTO  156;PRODUCTO  157;PRODUCTO  158;PRODUCTO  159;PRODUCTO  16;PRODUCTO  161;PRODUCTO  162;PRODUCTO  163;PRODUCTO  164;PRODUCTO  165;PRODUCTO  166;PRODUCTO  167;PRODUCTO  168;PRODUCTO  169;PRODUCTO  17;PRODUCTO  170;PRODUCTO  171;PRODUCTO  172;PRODUCTO  173;PRODUCTO  174;PRODUCTO  175;PRODUCTO  176;PRODUCTO  177;PRODUCTO  178;PRODUCTO  179;PRODUCTO  18;PRODUCTO  180;PRODUCTO  181;PRODUCTO  182;PRODUCTO  183;PRODUCTO  184;PRODUCTO  185;PRODUCTO  186;PRODUCTO  187;PRODUCTO  188;PRODUCTO  189;PRODUCTO  19;PRODUCTO  190;PRODUCTO  191;PRODUCTO  192;PRODUCTO  193;PRODUCTO  194;PRODUCTO  195;PRODUCTO  196;PRODUCTO  197;PRODUCTO  198;PRODUCTO  199;PRODUCTO  2;PRODUCTO  20;PRODUCTO  200;PRODUCTO  201;PRODUCTO  202;PRODUCTO  203;PRODUCTO  204;PRODUCTO  205;PRODUCTO  206;PRODUCTO  207;PRODUCTO  208;PRODUCTO  209;PRODUCTO  21;PRODUCTO  210;PRODUCTO  211;PRODUCTO  212;PRODUCTO  213;PRODUCTO  214;PRODUCTO  215;PRODUCTO  216;PRODUCTO  217;PRODUCTO  218;PRODUCTO  219;PRODUCTO  22;PRODUCTO  220;PRODUCTO  221;PRODUCTO  222;PRODUCTO  223;PRODUCTO  224;PRODUCTO  23;PRODUCTO  24;PRODUCTO  25;PRODUCTO  26;PRODUCTO  262;PRODUCTO  267;PRODUCTO  268;PRODUCTO  27;PRODUCTO  277;PRODUCTO  28;PRODUCTO  282;PRODUCTO  283;PRODUCTO  284;PRODUCTO  29;PRODUCTO  3;PRODUCTO  30;PRODUCTO  300;PRODUCTO  301;PRODUCTO  303;PRODUCTO  304;PRODUCTO  306;PRODUCTO  307;PRODUCTO  308;PRODUCTO  309;PRODUCTO  31;PRODUCTO  311;PRODUCTO  312;PRODUCTO  313;PRODUCTO  314;PRODUCTO  315;PRODUCTO  316;PRODUCTO  317;PRODUCTO  318;PRODUCTO  319;PRODUCTO  32;PRODUCTO  320;PRODUCTO  321;PRODUCTO  322;PRODUCTO  323;PRODUCTO  324;PRODUCTO  325;PRODUCTO  327;PRODUCTO  328;PRODUCTO  329;PRODUCTO  33;PRODUCTO  330;PRODUCTO  331;PRODUCTO  332;PRODUCTO  333;PRODUCTO  334;PRODUCTO  335;PRODUCTO  336;PRODUCTO  337;PRODUCTO  338;PRODUCTO  339;PRODUCTO  34;PRODUCTO  340;PRODUCTO  341;PRODUCTO  342;PRODUCTO  343;PRODUCTO  344;PRODUCTO  345;PRODUCTO  346;PRODUCTO  347;PRODUCTO  348;PRODUCTO  349;PRODUCTO  35;PRODUCTO  350;PRODUCTO  351;PRODUCTO  352;PRODUCTO  353;PRODUCTO  354;PRODUCTO  355;PRODUCTO  356;PRODUCTO  357;PRODUCTO  358;PRODUCTO  359;PRODUCTO  36;PRODUCTO  360;PRODUCTO  361;PRODUCTO  362;PRODUCTO  363;PRODUCTO  364;PRODUCTO  365;PRODUCTO  366;PRODUCTO  367;PRODUCTO  368;PRODUCTO  369;PRODUCTO  37;PRODUCTO  370;PRODUCTO  371;PRODUCTO  372;PRODUCTO  373;PRODUCTO  374;PRODUCTO  375;PRODUCTO  376;PRODUCTO  377;PRODUCTO  378;PRODUCTO  379;PRODUCTO  38;PRODUCTO  381;PRODUCTO  383;PRODUCTO  384;PRODUCTO  388;PRODUCTO  389;PRODUCTO  39;PRODUCTO  393;PRODUCTO  395;PRODUCTO  396;PRODUCTO  397;PRODUCTO  398;PRODUCTO  399;PRODUCTO  4;PRODUCTO  40;PRODUCTO  400;PRODUCTO  401;PRODUCTO  402;PRODUCTO  403;PRODUCTO  404;PRODUCTO  405;PRODUCTO  406;PRODUCTO  407;PRODUCTO  408;PRODUCTO  409;PRODUCTO  41;PRODUCTO  410;PRODUCTO  411;PRODUCTO  412;PRODUCTO  413;PRODUCTO  414;PRODUCTO  415;PRODUCTO  416;PRODUCTO  42;PRODUCTO  420;PRODUCTO  422;PRODUCTO  423;PRODUCTO  43;PRODUCTO  436;PRODUCTO  437;PRODUCTO  438;PRODUCTO  44;PRODUCTO  446;PRODUCTO  447;PRODUCTO  448;PRODUCTO  449;PRODUCTO  45;PRODUCTO  46;PRODUCTO  47;PRODUCTO  48;PRODUCTO  49;PRODUCTO  5;PRODUCTO  50;PRODUCTO  51;PRODUCTO  53;PRODUCTO  54;PRODUCTO  55;PRODUCTO  56;PRODUCTO  57;PRODUCTO  58;PRODUCTO  59;PRODUCTO  6;PRODUCTO  60;PRODUCTO  61;PRODUCTO  62;PRODUCTO  63;PRODUCTO  64;PRODUCTO  65;PRODUCTO  66;PRODUCTO  67;PRODUCTO  68;PRODUCTO  69;PRODUCTO  7;PRODUCTO  70;PRODUCTO  71;PRODUCTO  72;PRODUCTO  73;PRODUCTO  74;PRODUCTO  75;PRODUCTO  76;PRODUCTO  77;PRODUCTO  78;PRODUCTO  79;PRODUCTO  8;PRODUCTO  80;PRODUCTO  81;PRODUCTO  82;PRODUCTO  83;PRODUCTO  84;PRODUCTO  85;PRODUCTO  86;PRODUCTO  87;PRODUCTO  88;PRODUCTO  89;PRODUCTO  9;PRODUCTO  90;PRODUCTO  91;PRODUCTO  92;PRODUCTO  93;PRODUCTO  94;PRODUCTO  95;PRODUCTO  96;PRODUCTO  97;PRODUCTO  98;PRODUCTO  99
punto de venta 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;40;78;0;0;156;25;28;50;621;40;45;69;61;0;156;126;141;145;135;186;247;316;356;202;0;108;169;206;199;118;88;56;128;1;0;24;40;15;85;27;127;83;57;43;232;0;146;60;338;302;281;163;0;251;0;0;762;11;11;15;150;119;12;82;22;17;0;26;72;134;132;46;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
punto de venta 10;0;1603;0;1408;0;211;665;0;1;595;0;230;0;0;1227;0;165;2455;0;301;0;40;0;38;0;0;0;0;0;0;0;0;0;0;527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;951;0;0;0;0;0;0;0;0;0;6;0;0;50;0;0;0;0;0;2;0;253;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;634;0;0;14;154;0;0;0;0;0;0;103;147;128;0;1376;0;51;20;23;35;4;0;10;0;9;0;813;2;0;364;187;220;425;1284;198;0;180;0;0;135;0;281;0;715;714;0;1716;52;58;53;0;0;1279;0;0;0;0;0;510;22;27;12;0;0;17;2;0;0;2;10;9;20;25;29;148;0;699;2553;0;65;1;5;19;15;13;1;0;569;185;0;304;0;121;0;552;0;750;0;0;70;564;0;751;456;0;0;192;909;1;3867;0;3;0;0;609;0;1101;0;520;148;878;0;0;3;751;0;1183;0;0;1;1;0;868;0;1504;631;0;652;0;0;0;0;0;87;53;0;11;10;698;18;23;0;2;0;0;0;2515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65853;0;0;0;39567;0;0;0;0;0;1867;0;11;45157;0;13;15463;5783;10;0;19288;0;0;0;0;0;0;0;22;0;0;0;0;0;123;0;1;249;3;60;65;585;66;2157;0;0;0;0;15;37;113;3;45;16;56;21;9;5;21;6;32;2326;15;9;8;6;653;59;133;1552;0;4466
punto de venta 100;0;35;0;1537;0;317;1448;0;3;452;0;245;0;0;2855;0;505;3784;0;436;0;21;0;64;0;0;0;0;0;0;0;0;0;0;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556;0;0;0;0;0;0;0;0;0;84;0;0;77;0;0;0;0;0;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;0;0;0;286;0;0;0;0;0;0;20;70;41;0;1868;0;0;0;0;0;4;0;3;0;1;0;616;8;0;0;97;88;227;476;56;0;51;0;0;82;0;57;0;708;440;0;995;130;122;77;0;0;526;0;0;0;0;0;590;16;35;20;0;0;40;15;4;0;5;54;18;55;48;40;131;0;512;782;0;145;4;8;31;18;21;0;0;353;107;0;330;0;126;0;332;0;506;0;0;66;523;0;493;478;0;0;476;995;0;438;0;0;0;0;658;0;932;0;597;139;303;0;0;2;655;0;865;0;0;0;0;0;694;0;1003;569;0;370;0;0;0;0;0;74;68;82;13;11;396;79;48;1;4;0;0;0;1630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;37191;0;0;0;21841;0;0;0;0;0;717;0;3;12926;0;24;9567;1816;15;0;7618;0;0;0;0;0;0;0;19;0;0;0;0;0;90;1;0;64;48;48;155;423;352;1352;0;0;0;0;210;185;57;40;72;49;201;39;49;34;49;65;97;2254;52;52;30;44;2009;176;135;2284;0;4177
punto de venta 101;0;35;0;935;0;253;655;0;2;219;0;195;0;0;1301;0;385;2636;0;334;0;0;0;43;0;0;0;0;0;0;0;0;0;0;718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;587;0;0;0;0;0;0;0;0;0;11;0;0;6;0;0;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;326;0;0;0;0;0;0;22;17;21;0;1744;0;7;4;0;0;8;0;13;0;4;0;490;27;0;0;45;49;137;407;60;0;45;0;0;54;0;39;0;810;468;0;845;17;20;14;0;0;597;0;0;0;0;0;454;0;3;5;0;0;15;5;0;0;1;11;3;8;7;2;3;0;39;923;0;6;0;6;0;1;2;0;0;286;5;0;23;0;8;0;20;0;18;0;0;15;19;0;39;28;0;0;30;61;0;255;0;0;0;0;30;0;77;0;37;6;394;0;0;0;25;0;53;0;0;0;0;0;43;0;69;33;0;15;0;0;0;0;0;30;16;10;7;1;392;12;4;0;0;0;0;1;2096;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;35888;0;0;0;18830;0;0;0;0;0;819;0;15;15228;0;41;9965;435;5;0;7862;0;0;0;0;0;0;0;24;0;0;0;0;0;4;0;0;35;0;29;27;106;111;656;0;0;0;0;9;2;12;0;3;1;0;0;0;0;1;0;1;2210;0;0;0;2;15;0;7;1291;0;2002
punto de venta 102;0;251;0;731;0;271;806;0;4;267;0;189;0;0;1021;0;385;1505;0;349;0;32;0;33;0;0;0;0;0;0;0;0;0;0;481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451;0;0;0;0;0;0;0;0;0;71;0;0;80;0;0;0;0;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;0;0;111;248;0;0;0;0;0;0;26;15;40;0;1348;0;0;0;0;0;9;0;8;0;4;0;543;19;0;0;89;71;189;293;29;0;51;0;0;110;0;80;0;600;410;0;728;133;95;84;0;0;493;0;0;0;0;0;449;32;46;26;0;0;42;21;1;0;6;50;25;44;49;48;100;0;576;637;0;100;1;23;31;25;26;2;0;289;209;0;433;0;198;0;441;0;451;0;0;46;481;0;543;553;0;0;389;790;0;892;0;0;0;0;546;0;783;0;555;163;259;0;0;1;624;0;776;0;0;0;0;0;606;0;770;503;0;485;0;0;0;0;0;90;80;70;15;9;355;67;68;1;9;0;0;2;916;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;43378;0;0;0;16475;0;0;0;0;0;477;0;4;12605;0;23;11830;928;6;0;8502;0;0;0;0;0;0;0;29;0;0;0;0;0;89;0;0;1543;23;52;58;129;117;778;0;0;0;0;141;90;32;28;42;29;176;11;35;23;6;34;52;2050;45;24;22;28;639;66;80;1227;0;2567
punto de venta 103;0;36;0;1190;0;158;940;0;0;302;0;226;0;0;3125;0;287;4086;0;281;0;15;0;59;0;0;0;0;0;0;0;0;0;0;686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333;0;0;0;0;0;0;0;0;0;12;0;0;9;0;0;0;0;0;0;0;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;0;0;49;271;0;0;0;0;0;0;56;13;39;0;1344;0;1;10;0;0;14;0;14;0;4;0;519;11;0;0;93;90;191;315;84;0;58;0;0;68;0;75;0;610;424;0;721;30;40;35;0;0;427;0;0;0;0;0;585;17;30;14;0;0;12;1;0;0;0;15;1;12;14;5;19;0;100;725;0;20;0;4;4;5;6;3;0;331;10;0;40;0;10;0;32;0;65;0;0;30;66;0;63;58;0;0;73;148;0;441;0;0;0;0;124;0;168;0;74;17;382;0;0;2;86;0;131;0;0;0;0;0;150;0;112;90;0;30;0;0;0;0;0;17;13;1;14;9;338;20;21;0;1;0;0;0;1440;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48644;0;0;0;26054,3;0;0;0;0;0;809;0;3;17292;0;633;7687;1352;8;0;7217;0;0;0;0;0;0;0;11;0;0;0;0;0;39;4;0;154;13;52;10;83;43;845;0;0;0;0;19;15;40;7;6;12;54;14;10;5;16;17;18;1050;12;12;9;9;178;34;77;1887;0;2203
punto de venta 104;0;859;0;893;0;154;730;0;2;290;0;155;0;0;1776;0;237;3338;0;203;0;6;0;41;0;0;0;0;0;0;0;0;0;0;475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;614;0;0;0;0;0;0;0;0;0;19;0;0;18;0;0;0;0;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0;24;276;0;0;0;0;0;0;20;21;26;0;1141;0;2;0;0;26;8;0;10;0;4;0;608;6;0;0;55;76;133;342;58;0;45;0;0;51;0;60;0;550;388;0;606;72;88;74;0;0;427;0;0;0;0;0;452;12;13;11;0;0;17;4;1;0;6;16;11;19;17;14;13;0;151;570;0;55;0;7;0;7;8;0;0;350;6;0;91;0;12;0;45;0;78;0;0;38;101;0;104;118;0;0;111;234;1;9607;0;0;0;1;148;0;237;0;117;30;296;0;0;0;146;0;178;0;0;0;0;0;173;0;156;104;0;77;0;0;1;0;0;85;49;14;14;10;342;50;42;0;0;0;0;0;1219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42301;0;0;0;26995;0;0;0;0;0;509;0;2;15163;0;27;6553;1281;3;0;5348;0;0;0;0;0;0;0;19;0;0;0;0;0;36;9;0;9;21;57;63;356;137;1019;0;0;0;0;90;60;229;24;33;16;96;13;32;13;17;23;32;1415;20;24;26;24;134;40;57;1330;0;1820
punto de venta 105;0;61;0;603;0;154;649;0;2;239;0;180;0;0;1111;0;366;1601;0;253;0;21;0;15;0;0;0;0;0;0;0;0;0;0;418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;340;0;0;0;0;0;0;0;0;0;15;0;0;41;0;0;0;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259;0;0;1;162;0;0;0;0;0;0;20;35;37;0;1434;0;7;0;10;0;0;0;2;0;0;0;450;4;0;0;127;149;184;499;107;0;97;0;0;73;0;84;0;428;230;0;563;89;88;64;0;10;352;0;0;0;0;0;247;19;28;4;0;0;7;2;0;0;7;10;5;13;12;8;1;0;98;519;0;23;1;6;11;8;9;0;0;237;14;0;41;0;13;0;31;0;52;0;0;20;55;0;77;79;0;0;89;130;3;319;0;0;0;0;86;0;155;0;57;32;251;0;0;1;87;0;101;0;0;0;0;0;118;0;147;60;0;55;0;0;0;0;0;27;19;18;23;9;244;67;50;0;3;0;0;1;1143;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;46502;0;0;0;11344;0;0;0;0;0;511;0;1;12547;0;46;12218;930;5;0;7142;0;0;0;0;0;0;0;13;0;0;0;0;0;22;2;0;81;15;27;37;219;113;822;46;38;52;88;47;138;50;4;36;5;102;28;20;10;11;20;20;1966;17;20;6;10;211;9;60;854;0;2022
punto de venta 106;0;205;0;940;0;458;1263;0;0;211;0;212;0;0;2251;0;734;3026;0;642;0;21;0;46;0;0;0;0;0;0;0;0;0;0;848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;0;0;0;23;0;0;51;0;0;0;0;0;41;2;364;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432;0;0;22;411;0;12;0;0;0;0;52;66;16;0;3568;0;1;17;2;0;5;0;88;0;22;0;901;9;0;0;125;156;208;959;85;0;49;0;0;184;0;178;0;785;669;0;1057;69;74;75;0;0;865;0;0;0;0;0;671;15;17;17;0;19;11;3;0;0;3;30;5;36;26;24;14;0;70;1112;0;10;0;9;12;11;6;2;0;393;6;0;45;0;4;0;46;0;58;0;0;35;73;0;82;60;0;0;61;138;3;717;0;7;0;0;112;0;169;0;84;5;698;0;0;16;73;0;151;0;0;0;1;0;108;0;278;109;0;47;0;0;7;0;0;137;77;0;5;3;695;67;115;0;0;0;0;6;2834;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87276;0;0;0;0;0;0;0;0;0;1167;0;18;34559;0;749;22765;0;0;0;16678;0;11;81;19;159;77;3;103;18;137;427;8;8;215;1;1;1976;134;39;63;126;95;385;12;84;30;209;504;408;4;114;218;106;556;166;191;113;194;190;225;3401;176;159;99;130;2194;115;209;1487;0;3526
punto de venta 107;0;93;0;822;0;159;653;0;4;530;0;183;0;0;1810;0;258;2274;0;260;0;6;0;33;0;0;0;0;0;0;0;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;382;0;0;0;0;0;0;0;0;0;20;0;0;15;0;0;0;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;0;0;1;155;0;0;0;0;0;0;38;19;15;0;922;0;4;0;1;0;0;0;0;0;0;0;387;1;0;0;90;85;160;238;45;0;50;0;0;69;0;43;0;541;374;0;555;48;69;45;0;3;389;0;0;0;0;0;285;7;10;4;0;8;11;4;0;0;2;14;0;14;6;6;17;0;48;688;0;13;0;0;5;2;3;0;0;252;1;0;44;0;3;0;23;0;43;0;0;30;34;0;47;44;0;0;73;101;2;476;0;1;0;0;80;0;96;0;50;19;298;0;0;3;63;0;103;0;0;0;0;0;108;0;85;55;0;16;0;0;1;0;0;77;33;37;11;10;317;39;32;2;4;0;0;1;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35894;0;0;0;18023;0;0;0;0;0;638;0;7;13334;0;117;5855;1362;16;0;5540;0;0;0;0;0;0;0;22;0;0;0;0;0;79;8;1;361;42;21;63;278;65;928;0;0;0;0;70;83;75;64;102;62;163;22;53;12;95;38;42;1031;67;47;31;52;468;60;104;1388;0;1575
